set,k,QQ,x_b,t,phi_x,F,sigmaF,Mean F Prediction,Std Dev Prediction,ReH_pred,ReH_std,ReE_pred,ReE_std,ReHt_pred,ReHt_std,dvcs_pred,dvcs_std
3,5.75,1.964,0.375,-0.278,7.5,0.0752,0.00672,0.06538661,0.003445398,-1.5518788,0.20823935,-1.5649831,0.21093982,-1.8323001,0.2929676,0.011565756,0.001415923
3,5.75,1.964,0.375,-0.278,22.5,0.0597,0.0054,0.061566174,0.002984469,-1.5518788,0.20823935,-1.5649831,0.21093982,-1.8323001,0.2929676,0.011565756,0.001415923
3,5.75,1.964,0.375,-0.278,37.5,0.0579,0.00456,0.055476505,0.0023275337,-1.5518788,0.20823935,-1.5649831,0.21093982,-1.8323001,0.2929676,0.011565756,0.001415923
3,5.75,1.964,0.375,-0.278,52.5,0.0504,0.00384,0.0489188,0.0017780811,-1.5518788,0.20823935,-1.5649831,0.21093982,-1.8323001,0.2929676,0.011565756,0.001415923
3,5.75,1.964,0.375,-0.278,67.5,0.04,0.00336,0.043009833,0.0014902891,-1.5518788,0.20823935,-1.5649831,0.21093982,-1.8323001,0.2929676,0.011565756,0.001415923
3,5.75,1.964,0.375,-0.278,82.5,0.0361,0.003,0.038153723,0.0014223314,-1.5518788,0.20823935,-1.5649831,0.21093982,-1.8323001,0.2929676,0.011565756,0.001415923
3,5.75,1.964,0.375,-0.278,97.5,0.0352,0.00264,0.034358058,0.0014501471,-1.5518788,0.20823935,-1.5649831,0.21093982,-1.8323001,0.2929676,0.011565756,0.001415923
3,5.75,1.964,0.375,-0.278,112.5,0.033,0.00252,0.031485986,0.001494705,-1.5518788,0.20823935,-1.5649831,0.21093982,-1.8323001,0.2929676,0.011565756,0.001415923
3,5.75,1.964,0.375,-0.278,127.5,0.0293,0.00216,0.029380588,0.0015296668,-1.5518788,0.20823935,-1.5649831,0.21093982,-1.8323001,0.2929676,0.011565756,0.001415923
3,5.75,1.964,0.375,-0.278,142.5,0.028,0.00204,0.02791044,0.0015516854,-1.5518788,0.20823935,-1.5649831,0.21093982,-1.8323001,0.2929676,0.011565756,0.001415923
3,5.75,1.964,0.375,-0.278,157.5,0.0263,0.00204,0.026980253,0.0015636598,-1.5518788,0.20823935,-1.5649831,0.21093982,-1.8323001,0.2929676,0.011565756,0.001415923
3,5.75,1.964,0.375,-0.278,172.5,0.0268,0.00204,0.026529677,0.0015687643,-1.5518788,0.20823935,-1.5649831,0.21093982,-1.8323001,0.2929676,0.011565756,0.001415923
3,5.75,1.964,0.375,-0.278,187.5,0.0266,0.00204,0.026529677,0.0015687643,-1.5518788,0.20823935,-1.5649831,0.21093982,-1.8323001,0.2929676,0.011565756,0.001415923
3,5.75,1.964,0.375,-0.278,202.5,0.0247,0.00192,0.026980253,0.0015636598,-1.5518788,0.20823935,-1.5649831,0.21093982,-1.8323001,0.2929676,0.011565756,0.001415923
3,5.75,1.964,0.375,-0.278,217.5,0.0284,0.00216,0.02791044,0.0015516854,-1.5518788,0.20823935,-1.5649831,0.21093982,-1.8323001,0.2929676,0.011565756,0.001415923
3,5.75,1.964,0.375,-0.278,232.5,0.0284,0.00228,0.029380588,0.0015296666,-1.5518788,0.20823935,-1.5649831,0.21093982,-1.8323001,0.2929676,0.011565756,0.001415923
3,5.75,1.964,0.375,-0.278,247.5,0.0373,0.00264,0.03148598,0.0014947049,-1.5518788,0.20823935,-1.5649831,0.21093982,-1.8323001,0.2929676,0.011565756,0.001415923
3,5.75,1.964,0.375,-0.278,262.5,0.0378,0.00276,0.034358058,0.0014501474,-1.5518788,0.20823935,-1.5649831,0.21093982,-1.8323001,0.2929676,0.011565756,0.001415923
3,5.75,1.964,0.375,-0.278,277.5,0.0402,0.00288,0.038153715,0.0014223314,-1.5518788,0.20823935,-1.5649831,0.21093982,-1.8323001,0.2929676,0.011565756,0.001415923
3,5.75,1.964,0.375,-0.278,292.5,0.0426,0.00324,0.043009833,0.0014902891,-1.5518788,0.20823935,-1.5649831,0.21093982,-1.8323001,0.2929676,0.011565756,0.001415923
3,5.75,1.964,0.375,-0.278,307.5,0.0468,0.00372,0.0489188,0.0017780811,-1.5518788,0.20823935,-1.5649831,0.21093982,-1.8323001,0.2929676,0.011565756,0.001415923
3,5.75,1.964,0.375,-0.278,322.5,0.048,0.0042,0.055476494,0.0023275323,-1.5518788,0.20823935,-1.5649831,0.21093982,-1.8323001,0.2929676,0.011565756,0.001415923
3,5.75,1.964,0.375,-0.278,337.5,0.0603,0.0054,0.06156618,0.0029844688,-1.5518788,0.20823935,-1.5649831,0.21093982,-1.8323001,0.2929676,0.011565756,0.001415923
3,5.75,1.964,0.375,-0.278,352.5,0.0607,0.00636,0.0653866,0.0034453983,-1.5518788,0.20823935,-1.5649831,0.21093982,-1.8323001,0.2929676,0.011565756,0.001415923
4,5.75,1.986,0.379,-0.323,7.5,0.0662,0.00924,0.060241167,0.004614609,-1.4655145,0.26795578,-1.4612726,0.25032613,-1.8042858,0.41473326,0.009828647,0.0016085079
4,5.75,1.986,0.379,-0.323,22.5,0.0641,0.00756,0.05566283,0.003836917,-1.4655145,0.26795578,-1.4612726,0.25032613,-1.8042858,0.41473326,0.009828647,0.0016085079
4,5.75,1.986,0.379,-0.323,37.5,0.0439,0.0054,0.048779875,0.0027899875,-1.4655145,0.26795578,-1.4612726,0.25032613,-1.8042858,0.41473326,0.009828647,0.0016085079
4,5.75,1.986,0.379,-0.323,52.5,0.0425,0.00456,0.04188451,0.0019821024,-1.4655145,0.26795578,-1.4612726,0.25032613,-1.8042858,0.41473326,0.009828647,0.0016085079
4,5.75,1.986,0.379,-0.323,67.5,0.0353,0.00372,0.03608243,0.0016093305,-1.4655145,0.26795578,-1.4612726,0.25032613,-1.8042858,0.41473326,0.009828647,0.0016085079
4,5.75,1.986,0.379,-0.323,82.5,0.0294,0.00336,0.031577207,0.0015460697,-1.4655145,0.26795578,-1.4612726,0.25032613,-1.8042858,0.41473326,0.009828647,0.0016085079
4,5.75,1.986,0.379,-0.323,97.5,0.0274,0.00288,0.028206704,0.0015869897,-1.4655145,0.26795578,-1.4612726,0.25032613,-1.8042858,0.41473326,0.009828647,0.0016085079
4,5.75,1.986,0.379,-0.323,112.5,0.024,0.00252,0.025737645,0.0016337873,-1.4655145,0.26795578,-1.4612726,0.25032613,-1.8042858,0.41473326,0.009828647,0.0016085079
