set,k,QQ,x_b,t,phi_x,F,sigmaF,Mean F Prediction,Std Dev Prediction,ReH_pred,ReH_std,ReE_pred,ReE_std,ReHt_pred,ReHt_std,dvcs_pred,dvcs_std
118,5.75,2.12,0.245,-0.34,217.67,0.0491,0.00774,0.06079313,0.0023038252,-2.7102993,0.7226662,-0.70213056,1.2413592,-5.1752768,2.3683245,0.00017370329,0.0032501097
118,5.75,2.12,0.245,-0.34,232.74,0.0673,0.01074,0.06801837,0.0023162484,-2.7102993,0.7226662,-0.70213056,1.2413592,-5.1752768,2.3683245,0.00017370329,0.0032501097
118,5.75,2.12,0.245,-0.34,247.81,0.0769,0.0173,0.07945908,0.0023074679,-2.7102993,0.7226662,-0.70213056,1.2413592,-5.1752768,2.3683245,0.00017370329,0.0032501097
118,5.75,2.12,0.245,-0.34,262.89,0.0974,0.01708,0.09753792,0.0022359756,-2.7102993,0.7226662,-0.70213056,1.2413592,-5.1752768,2.3683245,0.00017370329,0.0032501097
118,5.75,2.12,0.245,-0.34,277.98,0.1327,0.01495,0.12706292,0.0020169825,-2.7102993,0.7226662,-0.70213056,1.2413592,-5.1752768,2.3683245,0.00017370329,0.0032501097
118,5.75,2.12,0.245,-0.34,293.08,0.1938,0.02185,0.17845406,0.0015077932,-2.7102993,0.7226662,-0.70213056,1.2413592,-5.1752768,2.3683245,0.00017370329,0.0032501097
118,5.75,2.12,0.245,-0.34,307.58,0.3127,0.02928,0.27176312,0.0011862858,-2.7102993,0.7226662,-0.70213056,1.2413592,-5.1752768,2.3683245,0.00017370329,0.0032501097
118,5.75,2.12,0.245,-0.34,320.01,0.584,0.08124,0.43177533,0.0035746752,-2.7102993,0.7226662,-0.70213056,1.2413592,-5.1752768,2.3683245,0.00017370329,0.0032501097
118,5.75,2.12,0.245,-0.34,331.35,0.0,0.0,0.7388736,0.009463236,-2.7102993,0.7226662,-0.70213056,1.2413592,-5.1752768,2.3683245,0.00017370329,0.0032501097
118,5.75,2.12,0.245,-0.34,352.5,0.0,0.0,2.6423702,0.047829803,-2.7102993,0.7226662,-0.70213056,1.2413592,-5.1752768,2.3683245,0.00017370329,0.0032501097
119,5.75,2.12,0.245,-0.45,7.5,0.0,0.0,4.8806777,0.14412023,-3.0499194,0.9247092,-1.4085042,1.54417,-3.8659463,3.4856865,0.0023799462,0.0047153947
119,5.75,2.12,0.245,-0.45,22.5,0.0,0.0,0.77543235,0.017896937,-3.0499194,0.9247092,-1.4085042,1.54417,-3.8659463,3.4856865,0.0023799462,0.0047153947
119,5.75,2.12,0.245,-0.45,40.64,0.0,0.0,0.25509748,0.0027874229,-3.0499194,0.9247092,-1.4085042,1.54417,-3.8659463,3.4856865,0.0023799462,0.0047153947
119,5.75,2.12,0.245,-0.45,51.97,0.1767,0.01501,0.16203058,0.0014886833,-3.0499194,0.9247092,-1.4085042,1.54417,-3.8659463,3.4856865,0.0023799462,0.0047153947
119,5.75,2.12,0.245,-0.45,66.88,0.1016,0.01223,0.10360756,0.00198591,-3.0499194,0.9247092,-1.4085042,1.54417,-3.8659463,3.4856865,0.0023799462,0.0047153947
119,5.75,2.12,0.245,-0.45,82.0,0.0701,0.01027,0.07387764,0.0022595592,-3.0499194,0.9247092,-1.4085042,1.54417,-3.8659463,3.4856865,0.0023799462,0.0047153947
119,5.75,2.12,0.245,-0.45,97.09,0.0553,0.01115,0.057174608,0.0023126986,-3.0499194,0.9247092,-1.4085042,1.54417,-3.8659463,3.4856865,0.0023799462,0.0047153947
119,5.75,2.12,0.245,-0.45,112.17,0.0425,0.00743,0.047056254,0.0022882945,-3.0499194,0.9247092,-1.4085042,1.54417,-3.8659463,3.4856865,0.0023799462,0.0047153947
119,5.75,2.12,0.245,-0.45,127.25,0.0318,0.01015,0.04068583,0.0022510083,-3.0499194,0.9247092,-1.4085042,1.54417,-3.8659463,3.4856865,0.0023799462,0.0047153947
119,5.75,2.12,0.245,-0.45,142.32,0.0264,0.0069,0.036677565,0.0022229361,-3.0499194,0.9247092,-1.4085042,1.54417,-3.8659463,3.4856865,0.0023799462,0.0047153947
119,5.75,2.12,0.245,-0.45,157.39,0.021,0.0059,0.034305956,0.0022071751,-3.0499194,0.9247092,-1.4085042,1.54417,-3.8659463,3.4856865,0.0023799462,0.0047153947
119,5.75,2.12,0.245,-0.45,172.46,0.0297,0.01183,0.03319966,0.0022006948,-3.0499194,0.9247092,-1.4085042,1.54417,-3.8659463,3.4856865,0.0023799462,0.0047153947
119,5.75,2.12,0.245,-0.45,187.54,0.0264,0.00816,0.03319966,0.0022006948,-3.0499194,0.9247092,-1.4085042,1.54417,-3.8659463,3.4856865,0.0023799462,0.0047153947
119,5.75,2.12,0.245,-0.45,202.61,0.0286,0.00628,0.034305956,0.0022071751,-3.0499194,0.9247092,-1.4085042,1.54417,-3.8659463,3.4856865,0.0023799462,0.0047153947
119,5.75,2.12,0.245,-0.45,217.68,0.0378,0.0131,0.036677565,0.0022229361,-3.0499194,0.9247092,-1.4085042,1.54417,-3.8659463,3.4856865,0.0023799462,0.0047153947
119,5.75,2.12,0.245,-0.45,232.75,0.0304,0.00742,0.04068583,0.0022510083,-3.0499194,0.9247092,-1.4085042,1.54417,-3.8659463,3.4856865,0.0023799462,0.0047153947
119,5.75,2.12,0.245,-0.45,247.83,0.0318,0.00764,0.04705623,0.002288294,-3.0499194,0.9247092,-1.4085042,1.54417,-3.8659463,3.4856865,0.0023799462,0.0047153947
119,5.75,2.12,0.245,-0.45,262.91,0.0658,0.00853,0.05717459,0.0023126986,-3.0499194,0.9247092,-1.4085042,1.54417,-3.8659463,3.4856865,0.0023799462,0.0047153947
119,5.75,2.12,0.245,-0.45,278.0,0.0823,0.00882,0.07387764,0.0022595592,-3.0499194,0.9247092,-1.4085042,1.54417,-3.8659463,3.4856865,0.0023799462,0.0047153947
119,5.75,2.12,0.245,-0.45,293.12,0.1207,0.01386,0.10360748,0.0019859099,-3.0499194,0.9247092,-1.4085042,1.54417,-3.8659463,3.4856865,0.0023799462,0.0047153947
119,5.75,2.12,0.245,-0.45,308.03,0.1773,0.0205,0.16203058,0.001488683,-3.0499194,0.9247092,-1.4085042,1.54417,-3.8659463,3.4856865,0.0023799462,0.0047153947
119,5.75,2.12,0.245,-0.45,319.36,0.2733,0.03228,0.2550967,0.0027874121,-3.0499194,0.9247092,-1.4085042,1.54417,-3.8659463,3.4856865,0.0023799462,0.0047153947
119,5.75,2.12,0.245,-0.45,337.5,0.0,0.0,0.7754324,0.017896924,-3.0499194,0.9247092,-1.4085042,1.54417,-3.8659463,3.4856865,0.0023799462,0.0047153947
119,5.75,2.12,0.245,-0.45,352.5,0.0,0.0,4.880678,0.14412019,-3.0499194,0.9247092,-1.4085042,1.54417,-3.8659463,3.4856865,0.0023799462,0.0047153947
120,5.75,1.94,0.274,-0.11,7.46,0.4022,0.07766,0.37339905,0.044594873,-2.9830465,1.3173637,-2.0770686,2.2491808,-0.49368733,6.7707095,0.0036304435,0.0090762
120,5.75,1.94,0.274,-0.11,22.4,0.3987,0.0546,0.35626128,0.039957706,-2.9830465,1.3173637,-2.0770686,2.2491808,-0.49368733,6.7707095,0.0036304435,0.0090762
120,5.75,1.94,0.274,-0.11,37.34,0.3855,0.05124,0.32627317,0.03202273,-2.9830465,1.3173637,-2.0770686,2.2491808,-0.49368733,6.7707095,0.0036304435,0.0090762
